request_id,created_at,closed_at,status,priority,category,subcategory,location,team,owner,channel,sla_hours,resolution_hours,reopened,satisfaction_score,last_updated_at,source_system
SR-100024,2026-04-28T18:36:14.720776Z,2026-04-28T21:58:52.478610Z,Closed,Critical,General Inquiry,Status request,Central Service Center,Customer Care,K. Johnson,Mobile,4,3.38,No,5,2026-04-28T21:58:52.478610Z,Service Portal
SR-100025,2026-04-28T20:48:16.234252Z,2026-05-01T15:48:07.714709Z,Closed,Normal,Equipment & Maintenance,Device repair,Central Service Center,Field Operations,P. Garcia,Web,48,67.00,No,4,2026-05-01T15:48:07.714709Z,Field App
SR-100016,2026-04-28T21:08:53.349335Z,2026-04-29T04:22:13.202576Z,Closed,Critical,Billing & Payments,Refund request,Central Service Center,Billing Operations,T. Nguyen,Email,4,7.22,No,3,2026-04-29T04:22:13.202576Z,Contact Center
SR-100027,2026-04-29T09:18:25.031278Z,2026-05-01T12:07:44.205642Z,Closed,Normal,Permit & Compliance,Documentation review,North Service Center,Compliance Services,O. Scott,Mobile,48,50.82,No,,2026-05-01T12:07:44.205642Z,Service Portal
SR-100028,2026-04-29T10:29:45.443733Z,2026-04-30T12:38:55.056589Z,Closed,Normal,Delivery & Fulfillment,Late delivery,North Service Center,Customer Care,E. Thompson,Web,48,26.15,No,4,2026-04-30T12:38:55.056589Z,Field App
SR-100029,2026-04-29T12:52:13.407767Z,2026-04-30T04:20:39.079995Z,Closed,Normal,Account Access,Identity verification,North Service Center,Technical Support,A. Patel,Email,48,15.47,No,4,2026-04-30T04:20:39.079995Z,Service Portal
SR-100030,2026-04-29T15:19:14.802414Z,2026-05-01T21:32:53.336571Z,Closed,Normal,Equipment & Maintenance,Preventive maintenance,West Service Center,Field Operations,V. Hall,Web,48,54.23,No,4,2026-05-01T21:32:53.336571Z,Service Portal
SR-100026,2026-04-29T17:21:19.659462Z,2026-05-02T02:00:14.583066Z,Closed,Normal,Equipment & Maintenance,Preventive maintenance,West Service Center,Field Operations,H. Clark,Email,48,56.65,No,4,2026-05-02T02:00:14.583066Z,Field App
SR-100040,2026-04-30T07:51:54.171178Z,2026-05-02T23:20:39.560002Z,Closed,Low,Delivery & Fulfillment,Late delivery,Central Service Center,Customer Care,K. Johnson,Web,96,63.48,No,,2026-05-02T23:20:39.560002Z,Contact Center
SR-100037,2026-04-30T08:15:13.388401Z,2026-05-01T10:43:58.174621Z,Closed,Normal,General Inquiry,Status request,North Service Center,Customer Care,K. Johnson,Web,48,26.48,No,,2026-05-01T10:43:58.174621Z,Service Portal
SR-100033,2026-04-30T08:20:58.767550Z,2026-05-01T12:23:04.732356Z,Closed,Normal,Delivery & Fulfillment,Address correction,Central Service Center,Customer Care,E. Thompson,Mobile,48,28.03,No,5,2026-05-01T12:23:04.732356Z,Field App
SR-100041,2026-04-30T09:26:22.306885Z,2026-05-04T18:21:37.146608Z,Closed,Normal,Equipment & Maintenance,Replacement request,North Service Center,Field Operations,H. Clark,Web,48,104.92,No,4,2026-05-04T18:21:37.146608Z,Service Portal
SR-100039,2026-04-30T09:47:03.301032Z,2026-05-01T02:42:48.756543Z,Closed,Normal,General Inquiry,Status request,West Service Center,Customer Care,B. Martin,Email,48,16.93,No,,2026-05-01T02:42:48.756543Z,Contact Center
SR-100038,2026-04-30T11:55:07.391798Z,2026-05-01T08:21:17.434290Z,Closed,Normal,Account Access,Password reset,West Service Center,Technical Support,J. Brooks,Web,48,20.44,Yes,,2026-05-01T08:21:17.434290Z,Service Portal
SR-100035,2026-04-30T14:36:52.930266Z,2026-05-02T02:12:54.663050Z,Closed,Normal,Billing & Payments,Refund request,North Service Center,Billing Operations,L. Moore,Web,48,35.60,No,5,2026-05-02T02:12:54.663050Z,Service Portal
SR-100034,2026-04-30T18:42:00.253837Z,2026-05-01T11:30:44.392893Z,Closed,Low,General Inquiry,Service information,Central Service Center,Customer Care,K. Johnson,Web,96,16.81,No,,2026-05-01T11:30:44.392893Z,Service Portal
SR-100032,2026-04-30T19:10:54.768651Z,2026-05-01T05:08:14.600689Z,Closed,Normal,Account Access,Password reset,North Service Center,Technical Support,S. Rivera,Phone,48,9.96,Yes,4,2026-05-01T05:08:14.600689Z,Contact Center
SR-100036,2026-04-30T20:09:03.872226Z,2026-05-02T04:38:09.356866Z,Closed,High,Permit & Compliance,Application status,Remote,Compliance Services,F. Wright,Mobile,16,32.48,No,4,2026-05-02T04:38:09.356866Z,Contact Center
SR-100031,2026-04-30T20:57:33.436607Z,2026-05-01T05:42:23.347234Z,Closed,Normal,Account Access,Password reset,Central Service Center,Technical Support,S. Rivera,Web,48,8.75,No,,2026-05-01T05:42:23.347234Z,Service Portal
SR-100048,2026-05-01T08:09:20.482551Z,2026-05-01T13:26:54.423518Z,Closed,Critical,Delivery & Fulfillment,Damaged item,Central Service Center,Customer Care,D. Wilson,Mobile,4,5.29,No,3,2026-05-01T13:26:54.423518Z,Contact Center
SR-100045,2026-05-01T09:39:31.297050Z,2026-05-03T14:29:25.275439Z,Closed,Normal,Equipment & Maintenance,Replacement request,Central Service Center,Field Operations,N. Lewis,Phone,48,52.83,No,3,2026-05-03T14:29:25.275439Z,Contact Center
SR-100049,2026-05-01T11:25:51.044216Z,2026-05-01T23:33:20.109594Z,Closed,High,Account Access,Identity verification,North Service Center,Technical Support,S. Rivera,Web,16,12.12,No,4,2026-05-01T23:33:20.109594Z,Service Portal
SR-100050,2026-05-01T12:15:31.642897Z,2026-05-02T09:09:48.786626Z,Closed,High,Billing & Payments,Payment failure,Remote,Billing Operations,L. Moore,Web,16,20.90,Yes,4,2026-05-02T09:09:48.786626Z,Service Portal
SR-100053,2026-05-01T12:17:18.348985Z,2026-05-03T23:04:50.068772Z,Closed,High,Permit & Compliance,Application status,Remote,Compliance Services,I. Adams,Web,16,58.79,No,3,2026-05-03T23:04:50.068772Z,Service Portal
SR-100042,2026-05-01T13:48:42.134153Z,2026-05-02T00:50:42.873850Z,Closed,High,General Inquiry,Feedback,Remote,Customer Care,K. Johnson,Email,16,11.03,No,4,2026-05-02T00:50:42.873850Z,Contact Center
SR-100046,2026-05-01T13:49:14.223416Z,2026-05-02T20:39:45.937013Z,Closed,High,Permit & Compliance,Application status,Remote,Compliance Services,F. Wright,Web,16,30.84,Yes,,2026-05-02T20:39:45.937013Z,Field App
SR-100047,2026-05-01T14:13:34.003241Z,2026-05-04T03:55:18.555621Z,Closed,High,Billing & Payments,Refund request,South Service Center,Billing Operations,R. Williams,Email,16,61.70,No,3,2026-05-04T03:55:18.555621Z,Service Portal
SR-100044,2026-05-01T18:29:50.411202Z,2026-05-03T14:41:06.592457Z,Closed,High,Equipment & Maintenance,Preventive maintenance,South Service Center,Field Operations,H. Clark,Phone,16,44.19,No,4,2026-05-03T14:41:06.592457Z,Service Portal
SR-100043,2026-05-01T20:40:57.018732Z,2026-05-02T03:30:40.195570Z,Closed,Critical,Billing & Payments,Refund request,Central Service Center,Billing Operations,C. Davis,Web,4,6.83,No,,2026-05-02T03:30:40.195570Z,Service Portal
SR-100052,2026-05-01T20:44:24.319645Z,2026-05-03T17:25:55.159894Z,Closed,Normal,Delivery & Fulfillment,Late delivery,North Service Center,Customer Care,D. Wilson,Web,48,44.69,No,3,2026-05-03T17:25:55.159894Z,Contact Center
SR-100051,2026-05-01T21:01:14.369274Z,2026-05-02T16:51:09.083955Z,Closed,Low,Delivery & Fulfillment,Damaged item,Central Service Center,Customer Care,D. Wilson,Walk-in,96,19.83,No,4,2026-05-02T16:51:09.083955Z,Field App
SR-100057,2026-05-02T11:12:02.545701Z,2026-05-02T18:02:49.084252Z,Closed,High,Account Access,Password reset,South Service Center,Technical Support,J. Brooks,Web,16,6.85,No,4,2026-05-02T18:02:49.084252Z,Service Portal
SR-100055,2026-05-02T11:15:36.064429Z,,In Progress,High,Delivery & Fulfillment,Damaged item,North Service Center,Customer Care,E. Thompson,Web,16,,No,,2026-05-04T07:54:21.519397Z,Field App
SR-100063,2026-05-02T11:31:07.769016Z,2026-05-03T20:12:28.101985Z,Closed,Normal,Equipment & Maintenance,Preventive maintenance,Remote,Field Operations,V. Hall,Phone,48,32.69,No,4,2026-05-03T20:12:28.101985Z,Service Portal
SR-100056,2026-05-02T15:21:31.318080Z,2026-05-04T18:20:13.605386Z,Closed,Normal,Delivery & Fulfillment,Late delivery,Central Service Center,Customer Care,E. Thompson,Phone,48,50.98,No,,2026-05-04T18:20:13.605386Z,Contact Center
SR-100060,2026-05-02T16:23:25.733397Z,2026-05-02T23:10:23.737761Z,Closed,Normal,Account Access,Identity verification,Central Service Center,Technical Support,A. Patel,Email,48,6.78,No,4,2026-05-02T23:10:23.737761Z,Service Portal
SR-100061,2026-05-02T17:19:44.156347Z,2026-05-03T10:49:29.463000Z,Closed,High,General Inquiry,Status request,Remote,Customer Care,K. Johnson,Mobile,16,17.50,No,,2026-05-03T10:49:29.463000Z,Service Portal
SR-100058,2026-05-02T17:26:37.996507Z,2026-05-03T01:59:12.646863Z,Closed,Normal,Account Access,Identity verification,West Service Center,Technical Support,M. Chen,Mobile,48,8.54,No,5,2026-05-03T01:59:12.646863Z,Service Portal
SR-100062,2026-05-02T17:59:06.586013Z,2026-05-05T06:36:37.148848Z,Closed,Normal,Equipment & Maintenance,Replacement request,Remote,Field Operations,H. Clark,Phone,48,60.63,No,,2026-05-05T06:36:37.148848Z,Contact Center
SR-100054,2026-05-02T18:35:00.936779Z,2026-05-04T12:18:44.906582Z,Closed,Normal,Delivery & Fulfillment,Late delivery,South Service Center,Customer Care,D. Wilson,Email,48,41.73,No,5,2026-05-04T12:18:44.906582Z,Service Portal
SR-100059,2026-05-02T21:03:10.681413Z,2026-05-03T16:41:46.257928Z,Closed,Normal,Billing & Payments,Payment failure,West Service Center,Billing Operations,C. Davis,Phone,48,19.64,No,4,2026-05-03T16:41:46.257928Z,Service Portal
SR-100070,2026-05-03T14:17:50.812710Z,2026-05-04T14:26:17.437551Z,Closed,Normal,Billing & Payments,Payment failure,Central Service Center,Billing Operations,T. Nguyen,Web,48,24.14,Yes,5,2026-05-04T14:26:17.437551Z,Field App
SR-100064,2026-05-03T14:36:04.339072Z,2026-05-07T02:22:40.539310Z,Closed,Normal,Permit & Compliance,Application status,Central Service Center,Compliance Services,G. Baker,Email,48,83.78,Yes,3,2026-05-07T02:22:40.539310Z,Field App
SR-100068,2026-05-03T14:59:09.428190Z,2026-05-04T16:58:06.686412Z,Closed,High,Equipment & Maintenance,Preventive maintenance,Central Service Center,Field Operations,V. Hall,Phone,16,25.98,Yes,,2026-05-04T16:58:06.686412Z,Service Portal
SR-100071,2026-05-03T17:00:17.133253Z,2026-05-03T20:10:36.007724Z,Closed,High,Account Access,Password reset,Central Service Center,Technical Support,J. Brooks,Web,16,3.17,No,4,2026-05-03T20:10:36.007724Z,Service Portal
SR-100069,2026-05-03T18:27:33.977529Z,2026-05-04T10:04:54.105041Z,Closed,Low,Account Access,Password reset,West Service Center,Technical Support,S. Rivera,Web,96,15.62,No,,2026-05-04T10:04:54.105041Z,Service Portal
SR-100066,2026-05-03T18:55:33.399469Z,2026-05-10T08:56:24.900360Z,Closed,Low,Equipment & Maintenance,Device repair,Remote,Field Operations,P. Garcia,Mobile,96,158.01,No,4,2026-05-10T08:56:24.900360Z,Service Portal
SR-100067,2026-05-03T18:56:14.849468Z,2026-05-08T05:55:21.371150Z,Closed,Low,Delivery & Fulfillment,Late delivery,North Service Center,Customer Care,E. Thompson,Phone,96,106.99,No,4,2026-05-08T05:55:21.371150Z,Contact Center
SR-100065,2026-05-03T19:07:32.204575Z,2026-05-04T02:28:28.892210Z,Closed,Critical,Billing & Payments,Invoice question,North Service Center,Billing Operations,L. Moore,Mobile,4,7.35,No,4,2026-05-04T02:28:28.892210Z,Service Portal
SR-100079,2026-05-04T10:23:44.186745Z,2026-05-07T00:33:45.963467Z,Closed,Normal,Equipment & Maintenance,Replacement request,West Service Center,Field Operations,V. Hall,Web,48,62.17,No,,2026-05-07T00:33:45.963467Z,Field App
SR-100081,2026-05-04T10:57:09.357806Z,2026-05-06T04:32:04.409853Z,Closed,High,Permit & Compliance,Policy clarification,North Service Center,Compliance Services,F. Wright,Web,16,41.58,No,,2026-05-06T04:32:04.409853Z,Service Portal
SR-100080,2026-05-04T11:55:42.934031Z,2026-05-05T15:58:55.106419Z,Closed,Normal,General Inquiry,Feedback,West Service Center,Customer Care,K. Johnson,Mobile,48,28.05,No,,2026-05-05T15:58:55.106419Z,Field App
SR-100074,2026-05-04T13:17:05.252972Z,2026-05-08T03:00:41.419857Z,Closed,Low,Equipment & Maintenance,Preventive maintenance,Remote,Field Operations,P. Garcia,Web,96,85.73,No,4,2026-05-08T03:00:41.419857Z,Contact Center
SR-100083,2026-05-04T14:13:56.522395Z,2026-05-05T16:01:10.501668Z,Closed,Normal,Billing & Payments,Invoice question,West Service Center,Billing Operations,C. Davis,Email,48,25.79,Yes,,2026-05-05T16:01:10.501668Z,Field App
SR-100078,2026-05-04T14:14:12.766328Z,2026-05-06T04:13:28.579809Z,Closed,Low,Billing & Payments,Refund request,Remote,Billing Operations,L. Moore,Web,96,37.99,No,4,2026-05-06T04:13:28.579809Z,Service Portal
SR-100082,2026-05-04T14:30:25.047241Z,2026-05-06T02:11:00.463912Z,Closed,Low,Delivery & Fulfillment,Late delivery,West Service Center,Customer Care,E. Thompson,Web,96,35.68,No,4,2026-05-06T02:11:00.463912Z,Contact Center
SR-100076,2026-05-04T15:17:12.926815Z,2026-05-05T13:54:00.028583Z,Closed,Normal,General Inquiry,Status request,Remote,Customer Care,E. Thompson,Phone,48,22.61,No,4,2026-05-05T13:54:00.028583Z,Contact Center
SR-100077,2026-05-04T15:23:32.712619Z,2026-05-06T04:18:28.312141Z,Closed,Normal,Equipment & Maintenance,Device repair,West Service Center,Field Operations,N. Lewis,Web,48,36.92,No,4,2026-05-06T04:18:28.312141Z,Field App
SR-100075,2026-05-04T19:03:40.183656Z,2026-05-05T14:14:06.363889Z,Closed,Normal,Account Access,Permission request,Remote,Technical Support,S. Rivera,Phone,48,19.17,No,4,2026-05-05T14:14:06.363889Z,Service Portal
SR-100072,2026-05-04T20:09:35.671350Z,2026-05-05T02:25:24.208228Z,Closed,Normal,Account Access,Permission request,North Service Center,Technical Support,J. Brooks,Mobile,48,6.26,No,,2026-05-05T02:25:24.208228Z,Service Portal
SR-100073,2026-05-04T20:19:07.536829Z,2026-05-05T04:41:37.169859Z,Closed,High,General Inquiry,Service information,Remote,Customer Care,K. Johnson,Email,16,8.37,No,4,2026-05-05T04:41:37.169859Z,Service Portal
SR-100100,2026-05-05T09:11:52.894392Z,2026-05-06T20:23:13.518668Z,Closed,Normal,Delivery & Fulfillment,Damaged item,Remote,Customer Care,K. Johnson,Web,48,35.19,Yes,4,2026-05-06T20:23:13.518668Z,Contact Center
SR-100097,2026-05-05T09:36:09.501666Z,2026-05-06T14:48:22.593398Z,Closed,Normal,Delivery & Fulfillment,Late delivery,West Service Center,Customer Care,K. Johnson,Web,48,29.20,No,4,2026-05-06T14:48:22.593398Z,Service Portal
SR-100090,2026-05-05T11:12:15.730939Z,2026-05-06T02:00:54.983755Z,Closed,Normal,General Inquiry,Service information,Central Service Center,Customer Care,K. Johnson,Email,48,14.81,No,5,2026-05-06T02:00:54.983755Z,Contact Center
SR-100084,2026-05-05T12:33:48.412831Z,2026-05-05T20:22:36.893435Z,Closed,High,Account Access,Identity verification,Central Service Center,Technical Support,M. Chen,Web,16,7.81,Yes,,2026-05-05T20:22:36.893435Z,Field App
SR-100092,2026-05-05T13:05:28.288858Z,2026-05-06T10:49:24.083546Z,Closed,Normal,General Inquiry,Service information,Remote,Customer Care,D. Wilson,Mobile,48,21.73,No,5,2026-05-06T10:49:24.083546Z,Service Portal
SR-100087,2026-05-05T13:15:41.277775Z,2026-05-06T02:30:39.663931Z,Closed,Normal,Account Access,Password reset,North Service Center,Technical Support,S. Rivera,Web,48,13.25,No,4,2026-05-06T02:30:39.663931Z,Service Portal
SR-100086,2026-05-05T13:29:03.492218Z,2026-05-10T04:02:03.996206Z,Closed,High,Delivery & Fulfillment,Late delivery,West Service Center,Customer Care,E. Thompson,Email,16,110.55,No,3,2026-05-10T04:02:03.996206Z,Field App
SR-100089,2026-05-05T13:41:15.934824Z,2026-05-09T03:50:26.164173Z,Closed,Normal,Delivery & Fulfillment,Late delivery,South Service Center,Customer Care,B. Martin,Email,48,86.15,No,,2026-05-09T03:50:26.164173Z,Field App
SR-100088,2026-05-05T13:48:28.948737Z,2026-05-05T21:38:06.980015Z,Closed,Low,Account Access,Permission request,Central Service Center,Technical Support,A. Patel,Phone,96,7.83,No,5,2026-05-05T21:38:06.980015Z,Contact Center
SR-100091,2026-05-05T15:37:27.417557Z,2026-05-06T18:43:34.678798Z,Closed,Low,General Inquiry,Status request,South Service Center,Customer Care,D. Wilson,Web,96,27.10,Yes,4,2026-05-06T18:43:34.678798Z,Service Portal
SR-100098,2026-05-05T15:47:29.977933Z,2026-05-07T05:50:59.148355Z,Closed,Normal,Equipment & Maintenance,Preventive maintenance,West Service Center,Field Operations,N. Lewis,Walk-in,48,38.06,No,4,2026-05-07T05:50:59.148355Z,Field App
SR-100094,2026-05-05T17:07:07.570191Z,2026-05-06T14:42:35.849822Z,Closed,Normal,Account Access,Password reset,Central Service Center,Technical Support,M. Chen,Mobile,48,21.59,No,5,2026-05-06T14:42:35.849822Z,Service Portal
SR-100096,2026-05-05T17:08:36.894977Z,2026-05-07T04:58:25.525997Z,Closed,Normal,Billing & Payments,Refund request,Central Service Center,Billing Operations,L. Moore,Phone,48,35.83,No,5,2026-05-07T04:58:25.525997Z,Service Portal
SR-100085,2026-05-05T17:32:51.890633Z,2026-05-07T15:52:27.949586Z,Closed,Normal,Billing & Payments,Invoice question,West Service Center,Billing Operations,R. Williams,Mobile,48,46.33,Yes,4,2026-05-07T15:52:27.949586Z,Service Portal
SR-100099,2026-05-05T18:37:00.644682Z,2026-05-06T12:59:44.193259Z,Closed,Normal,General Inquiry,Feedback,West Service Center,Customer Care,B. Martin,Web,48,18.38,No,5,2026-05-06T12:59:44.193259Z,Service Portal
SR-100093,2026-05-05T19:32:34.227182Z,2026-05-07T00:40:54.745240Z,Closed,High,Billing & Payments,Invoice question,South Service Center,Billing Operations,C. Davis,Email,16,29.14,No,4,2026-05-07T00:40:54.745240Z,Field App
SR-100095,2026-05-05T19:45:26.995354Z,2026-05-07T20:18:48.967659Z,Closed,Normal,Account Access,Password reset,West Service Center,Technical Support,M. Chen,Phone,48,48.56,No,,2026-05-07T20:18:48.967659Z,Service Portal
SR-100102,2026-05-06T10:00:57.406844Z,2026-05-08T19:19:37.253634Z,Closed,High,Delivery & Fulfillment,Damaged item,Central Service Center,Customer Care,K. Johnson,Email,16,57.31,No,7,2026-05-08T19:19:37.253634Z,Service Portal
SR-100107,2026-05-06T11:11:31.974021Z,2026-05-07T20:27:55.987653Z,Closed,Normal,Billing & Payments,Invoice question,South Service Center,Billing Operations,L. Moore,Mobile,48,33.27,No,,2026-05-07T20:27:55.987653Z,Service Portal
SR-100109,2026-05-06T12:31:55.345235Z,2026-05-08T12:46:32.285154Z,Closed,Normal,Permit & Compliance,Documentation review,West Service Center,Compliance Services,F. Wright,Web,48,48.24,No,4,2026-05-08T12:46:32.285154Z,Field App
SR-100105,2026-05-06T13:28:37.520380Z,2026-05-08T23:54:11.798256Z,Closed,Normal,Permit & Compliance,Documentation review,North Service Center,Compliance Services,O. Scott,Web,48,58.43,No,4,2026-05-08T23:54:11.798256Z,Service Portal
SR-100104,2026-05-06T14:54:56.347301Z,2026-05-08T07:38:10.104771Z,Closed,Low,Delivery & Fulfillment,Damaged item,South Service Center,Customer Care,D. Wilson,Email,96,40.72,No,3,2026-05-08T07:38:10.104771Z,Service Portal
SR-100106,2026-05-06T15:17:05.356843Z,2026-05-09T10:23:06.409232Z,Closed,Normal,Equipment & Maintenance,Replacement request,West Service Center,Field Operations,V. Hall,Mobile,48,67.10,No,,2026-05-09T10:23:06.409232Z,Field App
SR-100110,2026-05-06T16:20:12.796910Z,2026-05-08T07:25:22.406214Z,Closed,High,Billing & Payments,Payment failure,North Service Center,Billing Operations,R. Williams,Web,16,39.09,No,4,2026-05-08T07:25:22.406214Z,Service Portal
SR-100108,2026-05-06T16:31:17.567495Z,2026-05-07T21:35:56.068905Z,Closed,High,Billing & Payments,Payment failure,West Service Center,Billing Operations,L. Moore,Phone,16,29.08,No,4,2026-05-07T21:35:56.068905Z,Field App
SR-100103,2026-05-06T16:34:16.684134Z,2026-05-07T00:05:55.321256Z,Closed,Critical,Billing & Payments,Refund request,Remote,Billing Operations,R. Williams,Mobile,4,7.53,No,,2026-05-07T00:05:55.321256Z,Contact Center
SR-100112,2026-05-06T16:50:12.391910Z,2026-05-07T16:12:09.567671Z,Closed,Normal,Billing & Payments,Refund request,North Service Center,Billing Operations,C. Davis,Web,48,23.37,No,5,2026-05-07T16:12:09.567671Z,Service Portal
SR-100101,2026-05-06T16:55:01.170035Z,2026-05-10T03:25:32.602677Z,Closed,Normal,Equipment & Maintenance,Preventive maintenance,North Service Center,Field Operations,P. Garcia,Email,48,82.51,No,4,2026-05-10T03:25:32.602677Z,Field App
SR-100111,2026-05-06T18:25:29.366166Z,2026-05-07T09:34:41.851104Z,Closed,Normal,Account Access,Permission request,West Service Center,Technical Support,M. Chen,Phone,48,15.15,No,4,2026-05-07T09:34:41.851104Z,Service Portal
SR-100124,2026-05-07T08:15:19.745810Z,2026-05-08T09:49:40.277941Z,Closed,Normal,Delivery & Fulfillment,Late delivery,West Service Center,Customer Care,D. Wilson,Mobile,48,25.57,No,5,2026-05-08T09:49:40.277941Z,Service Portal
SR-100113,2026-05-07T09:09:26.605150Z,2026-05-10T15:54:52.097697Z,Closed,Normal,Permit & Compliance,Documentation review,Central Service Center,Compliance Services,I. Adams,Email,48,78.76,No,4,2026-05-10T15:54:52.097697Z,Service Portal
SR-100118,2026-05-07T09:19:02.564900Z,2026-05-10T22:19:36.271378Z,Closed,High,Permit & Compliance,Application status,North Service Center,Compliance Services,O. Scott,Email,16,85.01,No,4,2026-05-10T22:19:36.271378Z,Service Portal
